2011 output area,All usual residents,Age 0 to 4,Age 5 to 7,Age 8 to 9,Age 10 to 14,Age 15,Age 16 to 17,Age 18 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 44,Age 45 to 59,Age 60 to 64,Age 65 to 74,Age 75 to 84,Age 85 to 89,Age 90 and over,Mean Age,Median Age
E00072724,361,19,8,8,22,3,16,9,14,8,60,94,27,43,25,4,1,43.4,47
E00072728,341,28,19,7,19,5,11,13,13,40,73,60,12,19,20,1,1,35,32
E00072730,288,16,9,5,8,0,0,5,14,12,41,48,35,57,27,6,5,49.5,54
E00072731,299,21,7,10,13,0,6,6,19,22,53,59,29,33,15,3,3,41.6,42
E00072733,335,29,14,6,21,3,8,9,17,28,84,45,27,31,11,1,1,36.2,35
E00072721,244,23,7,4,10,3,1,2,22,19,54,30,9,11,18,21,10,42.6,37
E00072722,352,15,7,8,18,5,11,9,26,21,65,84,26,35,13,4,5,41.2,42
E00072727,335,18,11,7,21,4,17,7,16,14,57,65,28,33,24,9,4,42.4,43
E00072734,371,18,11,5,19,6,12,12,22,19,80,92,18,23,26,6,2,40.6,42
E00072735,360,23,11,4,15,3,5,6,14,22,78,73,32,35,18,10,11,44.1,44
E00072736,282,18,4,5,13,1,3,5,13,20,39,35,26,51,34,7,8,48.6,53.5
E00072723,284,5,6,6,16,6,7,10,13,10,40,63,22,41,28,9,2,47,50
E00072725,311,13,6,6,26,6,8,10,21,20,54,72,16,22,21,6,4,40.3,40
E00072726,319,13,17,8,25,0,10,7,15,10,61,67,19,36,25,5,1,41.9,43
E00072729,374,31,16,6,30,7,12,10,26,18,70,94,17,19,14,4,0,35.8,37
E00072732,357,30,16,9,27,8,16,9,21,28,44,61,15,31,26,11,5,38.2,34
E00072738,291,15,9,3,18,4,6,5,21,19,51,68,18,31,21,1,1,41.6,43
E00072739,258,16,7,7,12,3,8,8,23,18,49,49,7,29,16,3,3,39.4,37
E00072740,275,11,8,5,20,7,12,5,7,16,54,51,22,43,10,3,1,42,43
E00072748,302,26,10,6,20,3,2,7,14,25,60,38,16,26,41,8,0,41.3,38
E00072751,299,18,15,9,21,3,8,9,23,13,53,62,15,29,20,1,0,38.2,40
E00072754,259,22,12,3,11,3,3,5,17,17,54,46,14,40,11,0,1,39.8,40
E00072737,345,21,16,6,19,4,9,6,26,16,68,78,21,26,23,5,1,39.9,41
E00072741,208,1,0,0,2,0,0,0,4,2,13,17,10,43,53,31,32,72.4,77
E00072742,347,16,5,4,26,5,9,5,14,17,61,62,19,47,43,12,2,46.3,47
E00072743,209,9,3,4,6,1,5,5,1,6,34,31,19,26,36,16,7,53.9,59
E00072744,343,20,4,3,15,6,13,9,28,12,57,85,33,30,23,2,3,42.8,46
E00072745,219,6,3,2,4,2,0,0,7,11,38,22,23,24,46,22,9,57.6,62
E00072746,257,8,10,5,16,2,6,3,12,6,57,46,16,27,27,12,4,46.6,46
E00072747,201,9,8,7,7,0,1,0,6,11,51,37,6,24,21,8,5,46.2,45
E00072749,282,16,11,4,21,5,9,6,13,9,58,49,20,33,24,2,2,41.9,42
E00072750,274,35,16,2,14,5,9,5,29,16,63,39,12,10,10,6,3,33.3,30
E00072752,353,44,15,7,25,4,11,8,24,29,71,36,23,20,22,13,1,35.3,31
E00072753,302,22,7,11,21,5,10,8,15,17,66,43,22,25,22,8,0,39.1,39
E00072703,310,14,5,3,19,7,9,9,15,2,32,97,26,34,28,9,1,46.6,50
E00072712,326,17,8,7,12,0,8,7,21,7,44,69,42,49,24,8,3,46.8,51
E00072713,307,8,7,4,22,4,8,6,12,3,44,53,37,54,34,9,2,49.1,55
E00072714,292,3,3,5,16,1,12,9,13,6,23,65,45,43,39,7,2,51.4,57
E00072715,356,22,17,10,35,7,8,5,21,15,77,57,20,29,12,7,14,39,39
E00072716,230,10,1,3,7,2,5,7,11,10,33,40,10,38,38,8,7,51.3,54
E00072718,225,9,3,5,10,2,6,5,19,12,35,56,12,27,15,6,3,44.4,45
E00072719,265,12,5,3,15,5,7,3,16,9,45,54,10,21,37,18,5,47.2,47
E00072720,358,13,18,9,33,4,11,7,19,9,69,67,25,33,29,8,4,41.7,42
E00072705,403,6,15,15,39,10,19,12,11,12,66,95,38,35,25,1,4,41.1,44
E00072706,246,6,3,5,21,4,9,6,8,6,28,56,30,32,25,4,3,47.4,51
E00072709,361,22,14,17,19,6,15,6,18,12,66,64,29,28,35,8,2,41,41
E00072710,302,8,6,3,19,0,12,4,15,3,39,62,27,43,51,7,3,50.5,53
E00072704,246,9,2,5,12,2,9,5,9,11,32,48,21,47,32,2,0,48.4,53
E00072707,288,11,11,8,23,3,6,4,18,19,44,57,15,32,23,11,3,43,43
E00072708,236,3,3,4,8,7,6,3,10,15,35,66,22,23,20,5,6,48,49
E00072711,321,17,9,7,21,6,15,4,8,7,58,52,27,38,41,8,3,45.5,47
E00072717,332,16,7,12,12,5,10,7,22,13,65,86,26,25,17,7,2,42.2,44
E00072781,220,9,9,3,5,0,3,1,7,11,47,52,16,26,23,5,3,47.8,47
E00072782,259,9,9,2,12,2,6,3,13,20,37,46,20,33,18,13,16,48.8,50
E00072784,275,24,11,7,12,4,5,6,13,21,64,53,12,22,15,3,3,38.2,37
E00072785,248,25,12,6,9,1,5,6,12,7,57,53,21,21,9,3,1,39.4,41
E00072786,340,16,12,7,23,7,15,11,16,12,71,74,21,27,22,4,2,40,40
E00072792,248,13,12,9,14,2,4,4,11,6,50,48,23,18,16,15,3,43.4,44
E00072776,307,21,8,9,22,2,15,5,10,11,59,60,23,35,19,7,1,41.6,43
E00072778,289,24,17,6,13,3,2,6,7,8,65,74,25,23,11,5,0,40.1,44
E00072788,305,13,10,6,19,4,7,7,13,11,45,74,24,33,32,5,2,44.8,47
E00072789,280,27,12,5,14,3,7,4,11,7,51,52,18,38,27,3,1,42.2,44
E00072790,285,16,9,11,18,3,11,14,12,3,55,69,21,22,16,4,1,40.2,42
E00072791,304,32,14,12,17,2,7,4,5,10,77,68,19,17,13,5,2,37.5,40
E00072777,311,15,13,9,19,3,7,8,11,26,72,67,18,26,12,3,2,38.9,40
E00072779,300,15,9,9,23,3,9,8,10,13,62,64,19,29,17,8,2,41.1,42
E00072780,345,31,12,14,21,4,9,8,5,7,75,63,17,27,31,12,9,42.1,43
E00072783,372,22,10,6,24,6,7,9,38,30,82,80,21,12,15,6,4,37.1,35
E00072787,226,10,3,3,9,3,2,5,15,26,48,33,11,25,22,6,5,44.3,40
E00072793,233,4,2,4,6,2,2,4,24,35,44,54,14,26,7,2,3,41.9,39
E00072794,322,23,9,11,29,4,5,3,4,10,68,73,18,37,23,5,0,41.4,43
E00073106,224,11,3,4,8,1,4,1,12,9,44,45,13,30,27,5,7,48.7,48.5
E00073119,328,15,9,5,12,5,9,8,17,7,49,69,26,53,37,7,0,47.1,49.5
