homeOA,All categories: Car or van availability,No cars or vans in household,1 car or van in household,2 cars or vans in household,3 cars or vans in household,4 or more cars or vans in household,sum of all cars or vans in the area
E00072724,136,11,40,55,18,12,257
E00072728,124,22,61,29,6,6,161
E00072730,130,18,60,41,8,3,180
E00072731,127,17,66,39,4,1,160
E00072733,143,29,69,35,7,3,174
E00072721,127,58,43,24,1,1,98
E00072722,157,31,72,45,6,3,192
E00072727,127,13,52,46,11,5,198
E00072734,162,31,73,47,9,2,202
E00072735,141,24,64,42,8,3,185
E00072736,151,44,78,21,6,2,147
E00072723,135,49,55,25,6,0,123
E00072725,127,32,59,27,8,1,142
E00072726,126,22,53,40,8,3,169
E00072729,131,16,62,38,13,2,186
E00072732,132,42,55,30,3,2,132
E00072738,125,18,55,43,8,1,169
E00072739,115,23,49,36,5,2,146
E00072740,123,16,63,38,5,1,160
E00072748,129,26,68,28,5,2,148
E00072751,126,28,55,35,6,2,152
E00072754,113,18,59,28,6,2,141
E00072737,132,14,61,45,9,3,192
E00072741,152,103,43,6,0,0,55
E00072742,136,21,65,43,4,3,179
E00072743,124,60,42,16,6,0,92
E00072744,141,26,59,37,13,6,198
E00072745,148,54,70,17,4,3,128
E00072746,120,38,40,30,9,3,139
E00072747,117,50,52,11,2,2,89
E00072749,115,21,53,28,10,3,154
E00072750,128,51,58,15,4,0,100
E00072752,144,35,72,33,3,1,151
E00072753,119,23,54,37,5,0,143
E00072703,122,8,37,57,16,4,217
E00072712,136,12,52,52,12,8,224
E00072713,135,13,49,54,14,5,222
E00072714,126,11,39,61,8,7,218
E00072715,138,14,71,43,8,2,190
E00072716,129,34,62,31,2,0,130
E00072718,125,31,59,28,7,0,136
E00072719,133,62,34,32,3,2,117
E00072720,131,15,51,43,14,8,213
E00072705,142,13,44,60,17,8,247
E00072706,113,16,52,35,8,2,154
E00072709,134,12,47,59,15,1,216
E00072710,121,12,38,52,16,3,207
E00072704,117,17,65,27,7,1,144
E00072707,133,21,71,34,6,1,162
E00072708,129,35,54,31,8,1,144
E00072711,129,11,53,45,12,8,218
E00072717,131,13,50,44,18,6,220
E00072781,123,47,49,24,1,2,109
E00072782,123,55,48,15,3,2,97
E00072784,134,57,51,22,3,1,108
E00072785,115,27,59,21,3,5,141
