OA,White,Mixed/multiple ethnic groups,Asian/Asian British,Black/African/Caribbean/Black British,Other ethnic group
E00072563,150,5,7,4,3
E00072564,220,4,7,2,1
E00072565,201,2,11,1,5
E00072566,239,5,11,0,2
E00072567,198,2,26,7,3
E00072568,205,2,18,2,3
E00072569,159,17,14,1,4
E00072570,182,2,9,1,3
E00072571,161,1,25,2,0
E00072572,151,7,37,1,3
E00072573,283,4,36,7,11
E00072574,225,7,65,1,6
E00072575,238,10,41,4,9
E00072576,107,2,10,0,3
E00072577,236,6,13,2,2
E00072578,226,4,7,1,2
E00072579,214,6,5,3,4
E00072580,215,9,12,4,1
E00072581,251,4,11,2,1
E00072582,167,3,3,1,0
E00072583,188,1,9,4,6
E00072584,185,2,14,3,1
E00072585,196,3,11,6,6
E00072586,191,7,18,1,2
E00072587,188,4,8,2,4
E00072588,257,10,0,1,0
E00072589,263,8,7,0,2
E00072590,232,1,2,1,1
E00072591,256,7,16,2,2
E00072592,221,3,1,0,0
E00072593,297,6,5,1,1
E00072594,294,7,6,0,2
E00072595,265,7,0,5,2
E00072596,305,8,5,0,1
E00072597,289,7,9,0,1
E00072598,300,4,2,0,1
E00072599,304,8,0,1,4
E00072600,315,7,4,1,0
E00072601,228,2,4,3,0
E00072602,324,5,2,3,0
E00072603,319,5,6,2,0
E00072604,318,1,2,4,0
E00072605,280,4,1,0,0
E00072606,240,4,5,0,1
E00072607,326,2,5,0,3
E00072608,223,5,2,1,0
E00072609,316,4,0,0,0
E00072610,102,0,0,0,0
E00072611,114,0,1,0,0
E00072612,236,8,3,1,0
E00072613,249,2,10,0,4
E00072614,306,5,2,0,1
E00072615,236,1,0,0,0
E00072616,321,1,0,1,0
E00072617,181,5,5,0,1
E00072618,490,13,41,9,1
E00072619,435,6,0,1,1
E00072620,156,1,1,2,0
E00072621,293,4,3,0,0
E00072622,306,4,0,1,0
E00072623,218,0,0,0,0
E00072624,308,0,0,0,0
E00072625,340,2,3,2,0
E00072626,145,1,0,1,0
E00072627,230,5,0,1,1
E00072628,261,3,0,0,1
E00072629,314,3,1,0,0
E00072630,544,16,16,5,0
E00072631,229,1,0,1,1
E00072632,246,3,6,1,0
E00072633,273,7,16,0,1
E00072634,223,5,16,1,2
E00072635,282,2,8,6,6
E00072636,255,12,89,5,12
E00072637,233,1,6,3,4
E00072638,281,8,14,0,6
E00072640,330,2,2,1,0
E00072641,281,1,1,0,0
E00072642,370,0,1,0,0
E00072643,252,2,1,0,0
E00072644,238,2,0,0,0
E00072645,434,4,2,2,0
E00072646,329,3,2,0,0
E00072647,214,1,0,0,0
E00072648,245,0,0,0,1
E00072649,272,1,1,0,3
E00072650,225,4,0,2,0
E00072651,176,0,0,0,1
E00072652,480,8,4,1,0
E00072653,356,10,2,1,0
E00072654,163,2,1,2,0
E00072655,330,1,0,0,0
E00072656,327,4,0,0,0
E00072657,142,3,3,0,0
E00072658,152,1,0,0,0
E00072659,298,1,5,0,0
E00072660,291,0,0,0,1
E00072661,265,2,1,1,0
E00072662,299,6,0,0,0
E00072663,277,0,2,0,0
E00072664,408,10,1,0,0
E00072665,361,4,1,2,0
E00072666,260,4,6,3,2
E00072667,221,5,1,2,1
E00072668,226,5,7,0,0
E00072669,229,6,8,3,0
E00072670,283,7,21,0,2
E00072671,276,13,3,1,6
E00072672,255,1,1,1,0
E00072673,268,10,4,0,3
E00072674,275,10,11,2,1
E00072675,245,15,2,6,2
E00072676,288,1,4,2,2
E00072677,223,6,5,3,0
E00072678,343,13,7,2,3
E00072679,339,4,8,1,2
E00072680,266,4,5,2,0
E00072681,271,11,6,4,3
E00072682,306,6,4,4,0
E00072683,258,11,10,6,1
E00072684,254,8,6,4,0
E00072685,276,5,2,2,1
E00072686,286,3,2,2,0
E00072687,171,3,0,0,0
E00072688,302,4,12,1,1
E00072689,186,1,1,0,0
E00072690,275,1,4,0,1
E00072691,246,2,2,1,0
E00072692,298,3,14,0,0
E00072693,387,6,0,1,3
E00072694,299,2,2,0,1
E00072695,201,1,1,0,0
E00072696,391,2,0,1,0
E00072697,280,4,5,0,0
E00072698,370,4,2,1,0
E00072699,453,6,3,3,0
E00072700,340,8,4,0,0
E00072701,313,0,6,0,0
E00072702,293,4,4,1,0
E00072703,305,3,1,0,1
E00072704,246,0,0,0,0
E00072705,393,6,3,1,0
E00072706,238,1,7,0,0
E00072707,287,0,1,0,0
E00072708,225,6,2,1,2
E00072709,357,1,2,0,1
E00072710,297,3,2,0,0
E00072711,313,2,6,0,0
E00072712,311,1,13,0,1
E00072713,302,3,2,0,0
